"filename", "language", "Markdown", "YAML", "Dart", "JSON", "HTML", "C++", "XML", "Properties", "Swift", "Groovy", "comment", "blank", "total"
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\widgets\fridge\add_product_form.dart", "Dart", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 29, 8, 106
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\widgets\fridge\delete_alert.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 8, 55
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\widgets\fridge\delete_all_alert.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 4, 5, 51
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\widgets\fridge\detail_view_product.dart", "Dart", 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 3, 8, 187
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\widgets\fridge\fridge_speedial.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 1, 8, 81
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\widgets\fridge\visibility_multiple_delete.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 11, 80
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\widgets\perfil\close_session.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 3, 5, 49
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\widgets\perfil\remove_account.dart", "Dart", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 2, 5, 85
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\widgets\perfil\sure_remove.dart", "Dart", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 2, 8, 56
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\widgets\recipes\recipe_card.dart", "Dart", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 8, 4, 151
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\pubspec.yaml", "YAML", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 42, 11, 88
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\test\widget_test.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 11, 7, 31
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\web\index.html", "HTML", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 15, 5, 46
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\web\manifest.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 15, 35, 4676, 215, 26, 1, 127, 8, 12, 85, 454, 529, 6183
